a,b,c
174945,923849,17
213291,1416050,1
174945,6610476,1
4652962,1416050,1
174945,237215,1
1041400,1955800,24-53
2660650,2740025,5
1231900,2740025,5
2660650,2797175,5
2660650,2740025,5
1231900,2797175,5
1231900,2740025,5
1031875,2028825,9
1169987,5189537,9
736600,5189537,9
1169987,4926012,9
1169987,4662487,9
768350,4662487,9
477837,1922463,1
287338,5083175,1
287338,4819650,1
287338,4556125,1
287338,4022725,1
287338,2674938,1
3021013,5602287,1
2897188,5227637,1
3103563,2871788,1
1592262,5602287,1
1468437,5227637,1
1674813,2871788,1
5346700,1955800,24-53
5356225,2028825,9
5494337,5083175,9
5307012,5083175,9
5494337,2414588,9
5343525,2824163,9
5494337,2081213,9
4752975,1922463,1
4740275,2611438,1
4740275,4870450,1
4740275,4154487,1
4740275,3087688,1
4740275,2135188,1
7354888,5534025,1
7486650,1974850,1
5921375,5534025,1
6053137,1974850,1
8353425,5118100,1
8353425,4270375,1
8353425,3048000,1
8353425,2330450,1
8353425,1858963,1
174945,6078289,17
3930286,5278437,1
3930286,4992687,1
3930286,4679950,1
3930286,4129087,1
3930286,2852738,1
174943,27536,1
213291,1416050,1
4652962,1416050,1
6797182,931940,1
6815545,941861,1
7290713,931940,17
8710727,240787,13
870860,1341437,1
870860,1341437,17
1071206,1804988,17
5526473,402339,17
174945,237215,1
174943,27536,1
174945,6599780,17
6096000,3438525,9
6096000,2181225,9
5095875,3429000,9
5095875,2838450,9
5095875,2181225,9
6096000,2847975,9
4086225,3419475,9
4086225,2828925,9
3086100,3409950,9
4086225,2181225,9
3086100,2819400,9
3086100,2181225,9
2146300,2108200,24-53
7156450,2181225,9
4614862,4987925,1
1612900,2992438,1
6511925,4987925,1
1612900,2378075,1
7410450,2058988,1
1612900,3983037,1
5619750,4987925,1
3617912,4987925,1
2492375,4987925,1
8612413,159496,13
0,0,1
119062,230188,1
7031038,1709738,25
6981825,1138237,1
6981825,1138237,1
7031038,1298575,1
119062,6435725,1
123825,1138237,1
119062,1138237,1
207963,1204912,1
119064,230189,1
166689,1676400,1
119062,6435725,1
1231902,979487,1
1362077,1676401,25
3494089,977900,1
6002337,975402,1
119062,6078637,17
1362077,1289505,1
1361940,1283557,1
3594001,1283557,1
3758153,1276525,1
6108496,1283557,1
6267082,1276525,1
1362077,1574800,9
3594101,1574800,9
6108700,1549400,9
3594101,1741490,25
6108700,1676400,25
119062,914400,1
211149,1938338,17
119062,230188,1
2260600,1917700,24-58
2882900,4248150,1
236538,3971925,1
2882900,3971925,1
236538,3700462,1
2882900,3700462,1
236538,3429000,1
236538,4248150,1
236538,4524375,1
2854325,4524375,1
2854325,4800600,1
2787650,5353050,1
2806700,5076825,1
236538,5076825,1
236538,5353050,1
236538,4800600,1
3121025,2600325,1
236538,2324100,1
3282950,2324100,1
236538,2047875,1
3416300,2047875,1
2882900,3429000,1
236538,3152775,1
2921000,3152775,1
236538,2876550,1
3082925,2876550,1
236538,2600325,1
238899,2268538,9
228599,1935163,1
228599,1747838,1
2305081,1934023,1
2305081,1577001,1
3983466,1446100,1
3983466,1257564,1
119062,5924748,17
238899,2544763,9
238899,3094038,9
238899,2819400,9
238899,3919537,9
238899,3370262,9
238899,3644900,9
238899,4194175,9
238899,4470400,9
238899,4745037,9
238899,5019675,9
238899,5294312,9
3983468,1935163,1
3983468,1747838,1
5202861,1935165,1
5202861,1577977,1
6773433,1935161,1
6773433,1408112,1
6718300,1917700,24-58
7867650,2506663,9
7867650,2506663,9
7448550,4614862,9
7867650,2506663,9
7496175,5167312,9
7867650,2239963,9
7867650,2239963,9
7867650,2239963,9
7685088,3243263,9
7673975,2324100,1
7483475,2876550,1
7915275,3125788,1
7235825,4524375,1
7893050,2047875,1
7302500,4248150,1
7521575,2600325,1
7350125,3700462,1
7407275,3971925,1
7473950,4800600,1
7350125,3429000,1
7915275,5049837,1
7915275,4497387,1
7283450,5076825,1
7388225,3152775,1
7378700,5353050,1
3983468,2314575,17
3983468,2039938,17
3983468,2589213,17
3983468,2863850,17
3983468,3140075,17
3983468,3414712,17
3983468,3689350,17
3983468,3965575,17
3983468,4240212,17
3983468,4514850,17
3983468,4789487,17
3983468,5065712,17
3983468,5402262,17
5156200,1917700,24-58
5854700,3700462,1
5807075,3971925,1
5721350,5353050,1
5921375,2324100,1
5721350,4800600,1
5921375,4248150,1
5921375,2600325,1
5854700,3429000,1
5854700,5076825,1
5978525,4524375,1
5921375,2876550,1
5854700,2047875,1
5854700,3152775,1
119062,6358037,1
5772301,14466,1
5772301,14466,1
5772301,226833,1
174943,27536,1
6949153,273116,1
6949153,273116,1
6949153,485481,1
372140,1110682,1
372140,1110682,1
448014,1515332,25
4695257,1110682,1
4695257,1110682,1
4791312,1515332,25
8710727,240787,13
4632764,1131856,1
174945,1131856,1
4632764,1131856,17
4728054,1518104,17
196850,1518104,17
5526473,402339,17
174945,237215,1
174945,6439506,1
174943,27536,1
6853238,2133600,1
8502650,3548062,1
8502650,2133600,1
6134100,4962525,1
4895850,3455987,1
6858000,3548062,1
4895850,2041525,1
8502650,4962525,1
4895850,4870450,1
7305675,5848350,17
7935497,1689100,9
7742938,2417763,17
7379172,3076575,9
7186613,3805237,17
7420260,4511675,9
7227700,5240337,17
8612413,159496,13
3267075,2914650,9
1524000,2162175,9
1524000,3076575,9
3267075,3352800,9
